Order ID,Order Date,Ship Date,Aging,Ship Mode,Product Category,Product, Sales ,Quantity,Discount, Profit , Shipping Cost ,Order Priority,Customer ID,Segment,City,State,Country,Region,Months,Financial Quarter,Year
AU-2020-1,11/09/20,11/17/20,8,First Class,Auto & Accessories,Car Media Players, $140.0 ,2,0.05, $46.0 , $4.6 ,Medium,LS-001,Consumer,Brisbane,Queensland,Australia,Oceania,Nov,Q4,2020
AU-2020-2,06/30/20,07/02/20,2,First Class,Auto & Accessories,Car Speakers, $211.0 ,3,0.03, $112.0 , $11.2 ,Medium,IZ-002,Home Office,Berlin,Berlin,Germany,Central,Jun,Q2,2020
AU-2020-3,12/05/20,12/13/20,8,First Class,Auto & Accessories,Car Body Covers, $117.0 ,5,0.01, $31.2 , $3.1 ,Critical,EN-003,Consumer,Porirua,Wellington,New Zealand,Oceania,Dec,Q4,2020
AU-2020-4,05/09/20,05/16/20,7,First Class,Auto & Accessories,Car & Bike Care, $118.0 ,2,0.05, $26.2 , $2.6 ,High,AN-004,Corporate,Kabul,Kabul,Afghanistan,Central Asia,May,Q2,2020
AU-2020-5,07/09/20,07/18/20,9,First Class,Auto & Accessories,Tyre, $250.0 ,1,0.04, $160.0 , $16.0 ,Critical,ON-005,Corporate,Townsville,Queensland,Australia,Oceania,Jul,Q3,2020
AU-2020-6,02/25/20,03/05/20,8,First Class,Auto & Accessories,Bike Tyres, $72.0 ,3,0.04, $24.0 , $2.4 ,Critical,TO-006,Corporate,Bytom,Silesia,Poland,EMEA,Feb,Q1,2020
AU-2020-7,04/09/20,04/10/20,1,First Class,Auto & Accessories,Car Mat, $54.0 ,1,0.05, $54.0 , $5.4 ,High,OM-007,Consumer,Chicago,Illinois,United States,Central,Apr,Q2,2020
AU-2020-8,03/30/20,04/06/20,7,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,5,0.02, $22.6 , $2.3 ,Critical,AN-008,Corporate,Suzhou,Anhui,China,North Asia,Mar,Q1,2020
AU-2020-9,02/09/20,02/16/20,7,First Class,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,5,0.03, $116.4 , $11.6 ,Critical,EN-009,Consumer,Juárez,Chihuahua,Mexico,North,Feb,Q1,2020
AU-2020-10,04/21/20,05/01/20,10,First Class,Auto & Accessories,Car Media Players, $140.0 ,2,0.02, $54.4 , $5.4 ,Critical,TT-0010,Consumer,Soyapango,San Salvador,El Salvador,Central,Apr,Q2,2020
AU-2020-11,11/16/20,11/26/20,10,First Class,Auto & Accessories,Car Speakers, $211.0 ,4,0.01, $122.6 , $12.3 ,Critical,ED-0011,Corporate,Taipei,Taipei City,Taiwan,North Asia,Nov,Q4,2020
AU-2020-12,09/01/20,09/02/20,1,First Class,Auto & Accessories,Car Body Covers, $117.0 ,4,0.04, $18.3 , $1.8 ,High,ON-0012,Home Office,Los Angeles,California,United States,West,Sep,Q3,2020
AU-2020-13,07/09/20,07/16/20,7,First Class,Auto & Accessories,Car & Bike Care, $118.0 ,1,0.02, $35.6 , $3.6 ,Critical,WN-0013,Corporate,Saint-Brieuc,Brittany,France,Central,Jul,Q3,2020
AU-2020-14,07/22/20,07/27/20,5,First Class,Auto & Accessories,Tyre, $250.0 ,3,0.04, $140.0 , $14.0 ,High,AN-0014,Corporate,Kamina,Katanga,Democratic Republic of the Congo,Africa,Jul,Q3,2020
AU-2020-15,10/12/20,10/21/20,9,First Class,Auto & Accessories,Bike Tyres, $72.0 ,4,0.01, $18.0 , $1.8 ,Medium,EY-0015,Consumer,Brisbane,Queensland,Australia,Oceania,Oct,Q4,2020
AU-2020-16,02/23/20,03/05/20,10,First Class,Auto & Accessories,Car Mat, $54.0 ,2,0.01, $27.0 , $2.7 ,Critical,RN-0016,Consumer,Berlin,Berlin,Germany,Central,Feb,Q1,2020
